source,source_release,geography,year,metric,value,unit,status
BEA regional price parities,2024,South Carolina,2019,regional_price_parity,91.490,index (United States = 100),actual
BEA regional price parities,2024,South Carolina,2020,regional_price_parity,90.873,index (United States = 100),actual
BEA regional price parities,2024,South Carolina,2021,regional_price_parity,93.610,index (United States = 100),actual
BEA regional price parities,2024,South Carolina,2022,regional_price_parity,93.342,index (United States = 100),actual
BEA regional price parities,2024,South Carolina,2023,regional_price_parity,93.477,index (United States = 100),actual
BEA regional price parities,2024,South Carolina,2024,regional_price_parity,93.749,index (United States = 100),actual
BEA regional price parities,2024,Tennessee,2008,regional_price_parity,91.697,index (United States = 100),actual
BEA regional price parities,2024,Tennessee,2009,regional_price_parity,90.495,index (United States = 100),actual
BEA regional price parities,2024,Tennessee,2010,regional_price_parity,92.356,index (United States = 100),actual
BEA regional price parities,2024,Tennessee,2011,regional_price_parity,92.890,index (United States = 100),actual
BEA regional price parities,2024,Tennessee,2012,regional_price_parity,93.405,index (United States = 100),actual
BEA regional price parities,2024,Tennessee,2013,regional_price_parity,92.994,index (United States = 100),actual
BEA regional price parities,2024,Tennessee,2014,regional_price_parity,92.785,index (United States = 100),actual
BEA regional price parities,2024,Tennessee,2015,regional_price_parity,92.812,index (United States = 100),actual
BEA regional price parities,2024,Tennessee,2016,regional_price_parity,93.810,index (United States = 100),actual
BEA regional price parities,2024,Tennessee,2017,regional_price_parity,93.040,index (United States = 100),actual
BEA regional price parities,2024,Tennessee,2018,regional_price_parity,89.649,index (United States = 100),actual
BEA regional price parities,2024,Tennessee,2019,regional_price_parity,91.262,index (United States = 100),actual
BEA regional price parities,2024,Tennessee,2020,regional_price_parity,90.502,index (United States = 100),actual
BEA regional price parities,2024,Tennessee,2021,regional_price_parity,90.580,index (United States = 100),actual
BEA regional price parities,2024,Tennessee,2022,regional_price_parity,91.800,index (United States = 100),actual
BEA regional price parities,2024,Tennessee,2023,regional_price_parity,92.094,index (United States = 100),actual
BEA regional price parities,2024,Tennessee,2024,regional_price_parity,91.870,index (United States = 100),actual
BEA regional price parities,2024,Virginia,2008,regional_price_parity,103.204,index (United States = 100),actual
BEA regional price parities,2024,Virginia,2009,regional_price_parity,102.426,index (United States = 100),actual
BEA regional price parities,2024,Virginia,2010,regional_price_parity,103.724,index (United States = 100),actual
BEA regional price parities,2024,Virginia,2011,regional_price_parity,103.425,index (United States = 100),actual
BEA regional price parities,2024,Virginia,2012,regional_price_parity,102.494,index (United States = 100),actual
BEA regional price parities,2024,Virginia,2013,regional_price_parity,103.523,index (United States = 100),actual
BEA regional price parities,2024,Virginia,2014,regional_price_parity,103.454,index (United States = 100),actual
BEA regional price parities,2024,Virginia,2015,regional_price_parity,103.570,index (United States = 100),actual
BEA regional price parities,2024,Virginia,2016,regional_price_parity,102.777,index (United States = 100),actual
BEA regional price parities,2024,Virginia,2017,regional_price_parity,101.222,index (United States = 100),actual
BEA regional price parities,2024,Virginia,2018,regional_price_parity,101.957,index (United States = 100),actual
BEA regional price parities,2024,Virginia,2019,regional_price_parity,100.053,index (United States = 100),actual
BEA regional price parities,2024,Virginia,2020,regional_price_parity,101.003,index (United States = 100),actual
BEA regional price parities,2024,Virginia,2021,regional_price_parity,102.300,index (United States = 100),actual
BEA regional price parities,2024,Virginia,2022,regional_price_parity,102.026,index (United States = 100),actual
BEA regional price parities,2024,Virginia,2023,regional_price_parity,101.331,index (United States = 100),actual
BEA regional price parities,2024,Virginia,2024,regional_price_parity,101.104,index (United States = 100),actual
BEA regional price parities,2024,West Virginia,2008,regional_price_parity,87.636,index (United States = 100),actual
BEA regional price parities,2024,West Virginia,2009,regional_price_parity,86.654,index (United States = 100),actual
BEA regional price parities,2024,West Virginia,2010,regional_price_parity,88.909,index (United States = 100),actual
BEA regional price parities,2024,West Virginia,2011,regional_price_parity,89.295,index (United States = 100),actual
BEA regional price parities,2024,West Virginia,2012,regional_price_parity,89.312,index (United States = 100),actual
BEA regional price parities,2024,West Virginia,2013,regional_price_parity,90.246,index (United States = 100),actual
BEA regional price parities,2024,West Virginia,2014,regional_price_parity,89.864,index (United States = 100),actual
BEA regional price parities,2024,West Virginia,2015,regional_price_parity,90.557,index (United States = 100),actual
BEA regional price parities,2024,West Virginia,2016,regional_price_parity,89.805,index (United States = 100),actual
BEA regional price parities,2024,West Virginia,2017,regional_price_parity,88.966,index (United States = 100),actual
BEA regional price parities,2024,West Virginia,2018,regional_price_parity,89.411,index (United States = 100),actual
BEA regional price parities,2024,West Virginia,2019,regional_price_parity,88.518,index (United States = 100),actual
BEA regional price parities,2024,West Virginia,2020,regional_price_parity,87.334,index (United States = 100),actual
BEA regional price parities,2024,West Virginia,2021,regional_price_parity,90.981,index (United States = 100),actual
BEA regional price parities,2024,West Virginia,2022,regional_price_parity,89.157,index (United States = 100),actual
BEA regional price parities,2024,West Virginia,2023,regional_price_parity,89.633,index (United States = 100),actual
BEA regional price parities,2024,West Virginia,2024,regional_price_parity,89.497,index (United States = 100),actual
